wine_name,red_white,sperkring,cost,sweet,Astringency,acidity,Fruit,drinkable_temperature,alcohol,feature_level,Evaluation
シャトー･ド･シャントグリーヴ･キュヴェ･カロリーヌ･グラーヴ･ブラン,1,0,3980,2,3,3,4,12,8,2,0
ウルメネタ･カベルネ･ソーヴィニヨン,0,0,445,1,2,2,2,15,13,2,0
エール･ド･リューセック･ボルドーブラン / シャトー･リューセック,1,0,3980,2,3,3,4,10,13,1,0
パトリアレ･ヴィーノ･ロッソ･ディターリア,0,0,742,1,4,3,3,17,14,2,0
シャトー･フェラン ペサック･レオニャン･ルージュ,0,0,3280,1,4,3,4,18,12,2,0
マーク･セラーズ ピノ･ノワール,0,0,1980,1,2,3,3,15,11,1,0
チャリオット･ジプシー カリフォルニアレッド,0,0,1480,2,3,2,4,17,13,1,0
ライサ･クリアンサ･リオハ / ヴィセンテ･ガンディア,0,0,1280,1,4,3,4,17,14,2,0
クリオス カベルネ･ソーヴィニヨン / スサーナ･バルボ,0,0,1480,1,3,3,3,17,14,1,0
マライ･グランレゼルヴァ･ピノ･ノワール / ビーニャ･タバリ,0,0,1480,1,4,3,3,17,13.5,2,0
ペコリーノ / ヴィッラ･メドーロ,1,0,1800,1,3,3,3,9,12.5,2,0
マライ リミテッド エディション シャルドネ,1,0,1780,1,3,3,4,9,9,1,0
オーレゼルヴァ ゲヴェルツトラミネール[mazii],1,0,980,2,3,3,4,9,11,1,0
コン･ウン･パールアルバリーニョ /ヴィセンテ･ガンディ,1,0,1680,3,3,3,3,7,13.5,1,0
コート･デュ･ローヌ ブラン ヴァン･グルマン,1,0,1980,1,3,3,3,9,14,2,0
クリオス トロンテス,1,0,1480,1,3,3,3,8,14,2,0
パヴュ･パプリ･シャルドネ,1,0,1780,1,3,2,4,11,12,1,0
モンテマール ソーヴィニヨン･ブラン,1,0,480,2,3,3,3,7,13.5,2,0
ウルフブラス･イエローラベル･スパークリング ブリュット,1,1,1780,2,3,2,4,8,13,2,0
フレシネ コルドン ネグロ ブリュット,1,1,1480,1,3,2,4,7,12,2,0
エル･ミラクレ カヴァ･ブリュット,1,1,1080,2,3,4,2,8,11.5,2,0
サラ･ビベ･ブリュット,1,1,880,2,3,4,2,7,11.5,2,0
フィルマート ブリュット スパークリング,1,1,1280,2,3,2,4,7,8,1,0
トップバリュ リゴル エクセレンシア ブリュット,1,1,730,2,3,4,2,7,11.5,2,0
エル･ミラクレ カヴァ･ブリュット･ロゼ,1,1,1080,2,3,4,2,8,11.5,2,0
ストーニー･ヒル･スパークリング･シャルドネ ピノ･ノワール,1,1,780,1,3,3,3,7,11,2,0
オーヴァーチュア / オーパスワン,0,0,29800,1,4,3,5,17,14.5,2,0
オーパス･ワン / オーパス･ワン,0,0,59800,1,4,2,4,19,15,2,0
2004 ルイ･ロデレール クリスタル / ルイ･ロデレール,1,1,41800,2,3,4,4,9,12,2,0
パヴィヨンルージュ･デュ･シャトーマルゴー,0,0,32000,1,5,3,4,12,14,2,0
エマニュエル・ルジェ ニュイサンジョルジュ,0,0,29800,1,4,4,4,15,12,2,0
キュヴェ･プレステージ･ルージュ,0,0,748,3,3,3,3,16,14,0,0
アルプス ヴァンフリー 赤,0,0,1000,2,3,3,4,10,0,0,0
モンテマール メルロー,0,0,480,1,2,2,2,15,13,0,0
パラッツォ･ヴェッキオ･キャンティ,0,0,780,2,3,4,2,16,12.5,0,0
モンテマール カベルネ･カルメネール,0,0,480,1,2,2,2,15,12.5,0,0
モンテス･アルファ･ピノ･ノワール,0,0,1886,2,2,4,3,17,12,0,0
コトー･ブルギニヨン･ルージュ / ドメーヌ･ファブリス･ヴィゴ,0,0,2980,1,1,2,1,10,12,0,0
アントルコート･メルロー･カベルネ･ソーヴィニヨン,0,0,1980,1,5,3,3,17,13,2,7
ブルゴーニュアリゴテ,1,0,3480,1,3,4,3,10,12,2,1
サラダ ガルナッチャ ティントレラ,0,0,930,1,4,3,3,17,12,1,5
コノスル シャルドネ ビシクレタ,1,0,880,3,3,3,4,8,13.5,2,1
レゼルヴァ ドス アミーゴス トゥーリガ ナショナル ,0,0,1080,2,4,1,2,15,14,1.5,6
ブライダ･ブラケット･ダックイ,0,0.5,2780,4,3,3,4,9,5.5,0,5
サンテロ 天使のアスティ白,1,1,1540,4,1,2,2,10,7.5,0,6
サンテロ 天使のアスティ赤,0,1,1540,5,1,2,4,12,7.5,0,6
カンティ･ロゼ,0,1,880,4,1,2,3,8,7.5,0.7,2
苺のワインスパークリング,0,1,750,5,1,2,4,8,6,0,4
マンズゴールド スパークリング,1,1,1480,4,3,3,3,7,11,1,2
ヴィナヴィジャス ガルナッチャ,0,0,2700,3,5,3,3,17,14,2,6
パスクア　ランブルスコデッレミリア,0,1,1100,5,2,2,4,8,7.5,0,6
島根ワイナリー オリジナルスイート白,1,0,950,5,1,2,3,8,12,0,2
島根ワイナリー オリジナルスイート赤,0,0,950,5,1,2,3,8,12,0,3
